//dataInicio;dataFim;CPF;escritório-CEP;escritório-número;andar-número;sala-nome;vaga-codigo
2024-11-18 08:00:00;2024-11-18 12:00:00;67107207059;95059320;124;1;Garagem;A
2024-11-18 08:00:00;2024-11-18 12:00:00;62987294026;95059320;124;1;Garagem;B
2024-11-18 08:00:00;2024-11-18 12:00:00;14193296008;95059320;124;1;Garagem;D
2024-11-19 08:00:00;2024-11-19 12:00:00;67107207059;95059320;124;1;Garagem;A
2024-11-19 08:00:00;2024-11-19 12:00:00;62987294026;95059320;124;1;Garagem;B
2024-11-19 08:00:00;2024-11-19 18:00:00;14193296008;95059320;124;1;Garagem;D
2024-11-19 08:00:00;2024-11-19 16:00:00;91877172049;95059320;124;1;Garagem;J
2024-11-20 08:00:00;2024-11-20 12:00:00;62987294026;95059320;124;1;Garagem;B
2024-11-20 08:00:00;2024-11-20 12:00:00;14193296008;95059320;124;1;Garagem;D
2024-11-21 09:00:00;2024-11-21 14:00:00;67107207059;95059320;124;1;Garagem;A
2024-11-22 10:00:00;2024-11-22 19:00:00;62987294026;95059320;124;1;Garagem;F
